"","individual","scans_sampled","degree","strength","betweenness","eigenvector","group","season_id","group_size","degree_normalized"
"221","Ris",107,17,0.201490171618844,0.0921985815602837,0.442662666787159,"Noha","wet_2025",21,0.85
"222","Riva",95,16,0.158011375272501,0.00886524822695036,0.407833216478116,"Noha","wet_2025",21,0.8
"223","Udi",103,16,0.165169088093873,0.0718085106382979,0.324744566173526,"Noha","wet_2025",21,0.8
"224","Udup",133,25,0.22430245067305,0.0354609929078014,0.600245094147611,"Noha","wet_2025",21,1.25
"225","Xala",144,27,0.230109120544983,0.134751773049645,0.501444122735608,"Noha","wet_2025",21,1.35
"226","Xati",115,26,0.334367604300705,0.231382978723404,0.84543353512528,"Noha","wet_2025",21,1.3
"227","Xeni",148,26,0.231393120724673,0.0709219858156028,0.561486446371263,"Noha","wet_2025",21,1.3
"228","Xic",1,1,0.00694444444444444,0,0.0173949207300699,"Noha","wet_2025",21,0.05
"229","Xinp",112,23,0.196224740769092,0.00354609929078014,0.488636987382225,"Noha","wet_2025",21,1.15
"230","Xop",124,15,0.104526391817994,0.00265957446808511,0.240973930333688,"Noha","wet_2025",21,0.75
"231","gale",8,7,0.0690091621636139,0.00177304964539007,0.148532811241722,"Noha","wet_2025",21,0.35
"232","gree",7,5,0.0539444215704947,0.000886524822695035,0.150858597107514,"Noha","wet_2025",21,0.25
"233","gri",8,7,0.0648754694852409,0,0.22289594173083,"Noha","wet_2025",21,0.35
"234","grim",13,8,0.0851908321190845,0,0.230477430334352,"Noha","wet_2025",21,0.4
"235","gris",6,4,0.0513507625272331,0,0.168601009308112,"Noha","wet_2025",21,0.2
"236","griv",11,10,0.112801931949911,0.0310283687943262,0.235917111625899,"Noha","wet_2025",21,0.5
"237","gua",16,13,0.12042276326426,0.00354609929078014,0.327644411911441,"Noha","wet_2025",21,0.65
"238","hav",1,1,0.00970873786407767,0,0.0157495108088637,"Noha","wet_2025",21,0.05
"239","lus",9,8,0.0768375883631761,0,0.250820863996094,"Noha","wet_2025",21,0.4
"240","palm",4,3,0.034639226790054,0,0.122155298046932,"Noha","wet_2025",21,0.15
"241","pom",8,8,0.0568336639051984,0,0.158335601874632,"Noha","wet_2025",21,0.4
"242","prim",1,1,0.00704225352112676,0,0.016390859523466,"Noha","wet_2025",21,0.05
